<<<<<<< 748b67fd60b26d45750e10209255345ebe612814
# t pa pb T1 T2 P
0 5.0 5.0 293.65 293.65 0
60 4.7 6.0 294.15 293.55 115
120 4.4 6.4 295.15 293.15 118
180 4.5 6.9 296.35 291.95 122
240 4.6 7.0 297.55 290.95 125
300 4.6 7.0 298.85 289.95 125
360 4.5 7.2 300.05 289.15 123
420 4.4 7.4 301.15 288.45 123
480 4.3 7.8 302.35 287.65 122
540 4.2 8.0 303.55 286.95 122
600 4.2 8.1 304.65 286.25 121
660 4.1 8.3 305.75 285.55 121
720 4.0 8.5 306.75 284.95 121
780 4.0 8.8 307.75 284.35 121
840 3.9 9.0 308.75 283.75 121
900 3.8 9.1 309.65 283.15 121
960 3.8 9.2 310.55 282.55 122
1020 3.8 9.5 311.45 282.05 122
1080 3.7 9.8 312.25 281.55 122
1140 3.7 10.0 313.05 281.15 122
1200 3.7 10.0 313.95 280.65 122
1260 3.6 10.2 314.65 280.25 123
1320 3.6 10.3 315.35 279.85 123
1380 3.6 10.6 316.15 279.45 124
1440 3.6 10.8 316.85 279.15 124
1500 3.6 11.0 317.55 278.75 124
1560 3.6 11.1 318.25 278.55 124
1620 3.6 11.2 318.95 278.25 125
1680 3.5 11.4 319.55 277.95 125
1740 3.5 11.5 320.15 277.65 125
1800 3.5 11.7 320.75 277.45 125
1860 3.5 11.9 321.35 277.25 125
1920 3.5 12.0 321.95 277.05 125
1980 3.5 12.1 322.45 276.95 125
||||||| merged common ancestors
# t pa pb T1 T2 P
0 5.0 5.0 20.5 20.5 0
60 4.7 6.0 21.0 20.4 115
120 4.4 6.4 22.0 20.0 118
180 4.5 6.9 23.2 18.8 122
240 4.6 7.0 24.4 17.8 125
300 4.6 7.0 25.7 16.8 125
360 4.5 7.2 26.9 16.0 123
420 4.4 7.4 28.0 15.3 123
480 4.3 7.8 29.2 14.5 122
540 4.2 8.0 30.4 13.8 122
600 4.2 8.1 31.5 13.1 121
660 4.1 8.3 32.6 12.4 121
720 4.0 8.5 33.6 11.8 121
780 4.0 8.8 34.6 11.2 121
840 3.9 9.0 35.6 10.6 121
900 3.8 9.1 36.5 10.0 121
960 3.8 9.2 37.4 9.4 122
1020 3.8 9.5 38.3 8.9 122
1080 3.7 9.8 39.1 8.4 122
1140 3.7 10.0 39.9 8.0 122
1200 3.7 10.0 40.8 7.5 122
1260 3.6 10.2 41.5 7.1 123
1320 3.6 10.3 42.2 6.7 123
1380 3.6 10.6 43.0 6.3 124
1440 3.6 10.8 43.7 6.0 124
1500 3.6 11.0 44.4 5.6 124
1560 3.6 11.1 45.1 5.4 124
1620 3.6 11.2 45.8 5.1 125
1680 3.5 11.4 46.4 4.8 125
1740 3.5 11.5 47.0 4.5 125
1800 3.5 11.7 47.6 4.3 125
1860 3.5 11.9 48.2 4.1 125
1920 3.5 12.0 48.8 3.9 125
1980 3.5 12.1 49.3 3.8 125
=======
# t pa pb T1 T2 P
0 5.0 5.0 20.5 20.5 0
60 4.7 6.0 21.0 20.4 115
120 4.4 6.4 22.0 20.0 118
180 4.5 6.9 23.2 18.8 122
240 4.6 7.0 24.4 17.8 125
300 4.6 7.0 25.7 16.8 125
360 4.5 7.2 26.9 16.0 123
420 4.4 7.4 28.0 15.3 123
480 4.3 7.8 29.2 14.5 122
540 4.2 8.0 30.4 13.8 122
600 4.2 8.1 31.5 13.1 121
660 4.1 8.3 32.6 12.4 121
720 4.0 8.5 33.6 11.8 121
780 4.0 8.8 34.6 11.2 121
840 3.9 9.0 35.6 10.6 121
900 3.8 9.1 36.5 10.0 121
960 3.8 9.2 37.4 9.4 122
1020 3.8 9.5 38.3 8.9 122
1080 3.7 9.8 39.1 8.4 122
1140 3.7 10.0 39.9 8.0 122
1200 3.7 10.0 40.8 7.5 122
1260 3.6 10.2 41.5 7.1 123
1320 3.6 10.3 42.2 6.7 123
1380 3.6 10.6 43.0 6.3 124
1440 3.6 10.8 43.7 6.0 124
1500 3.6 11.0 44.4 5.6 124
1560 3.6 11.1 45.1 5.4 124
1620 3.6 11.2 45.8 5.1 125
1680 3.5 11.4 46.4 4.8 125
1740 3.5 11.5 47.0 4.5 125
1800 3.5 11.7 47.6 4.3 125
1860 3.5 11.9 48.2 4.1 125
1920 3.5 12.0 48.8 3.9 125
1980 3.5 12.1 49.3 3.8 125
>>>>>>> michelson
