# v Uc U
100 41.6 41.6
200 41.6 41.6
300 41.6 41.6
500 41.6 41.6
800 41.6 41.6
1000 41.6 41.6
2000 41.6 41.6
3000 41.6 41.6
5000 42.4 41.6
8000 44.8 41.6
10000 46.4 41.6
12000 48.0 41.6
13000 49.6 41.6
14000 51.2 41.6
15000 52.8 41.6
16000 54.4 41.6
17000 56.0 41.6
18000 58.4 41.6
19000 61.6 41.6
20000 64.8 41.6
21000 68.8 41.6
22000 74.0 41.6
23000 80.0 41.6
24000 86.0 41.6
25000 92.0 41.6
26000 100 41.6
27000 108 41.6
28000 118 41.6
29000 130 40.8
30000 142 40.0
31000 156 40.0
32000 166 38.4
33000 172 38.4
34000 170 38.4
35000 160 38.4
36000 148 38.4
37000 132 39.2
38000 116 40.0
39000 102 40.0
40000 90.0 40.8
42000 72.0 40.8
45000 52.0 41.6
48000 40.0 41.6
53000 26.4 41.6
60000 16.8 41.6
65000 12.0 41.6
75000 7.2 41.6
85000 2.8 42.4
100000 0.2 42.4
