# Spannung Strom
0.00 11.8
0.02 10.5
0.04 9.8
0.06 8.8
0.08 7.9
0.10 7.2
0.12 6.4
0.14 5.8
0.16 5.3
0.18 4.8
0.20 4.4
0.22 3.9
0.24 3.5
0.26 3.2
0.28 2.9
0.30 2.6
0.32 2.35
0.34 2.10
0.36 1.95
0.38 1.75
0.40 1.60
0.42 1.45
0.44 1.25
0.46 1.15
0.48 1.05
0.50 0.95
0.52 0.86
0.54 0.84
0.56 0.77
0.58 0.70
0.60 0.65
0.62 0.59
0.64 0.54
0.66 0.50
0.68 0.44
0.70 0.40
0.72 0.38
0.74 0.35
0.76 0.32
0.78 0.29
0.80 0.28
0.82 0.275
0.84 0.265
0.86 0.250
0.88 0.230
0.90 0.220
0.92 0.205
0.94 0.195
0.96 0.180
