# Spannung Impulse Fehler Strom
300 0 0 0.05
310 11511 107.29 0.10
320 12126 110.12 0.15
330 12288 110.85 0.20
340 12304 110.92 0.20
350 12449 111.58 0.20
360 12240 110.63 0.20
370 12498 111.79 0.20
380 12484 111.73 0.25
390 12615 112.32 0.30
400 12668 112.55 0.32
410 12663 112.53 0.39
420 12648 112.46 0.40
430 12899 113.57 0.40
440 12715 112.76 0.40
450 12858 113.39 0.41
460 12931 113.71 0.50
470 12905 113.60 0.55
480 12744 112.89 0.60
490 12745 112.89 0.60
500 12750 112.92 0.60
510 12784 113.07 0.60
520 12767 112.99 0.60
530 12693 112.66 0.65
540 12860 113.40 0.70
550 12623 112.35 0.70
560 12936 113.74 0.80
570 12704 112.71 0.80
580 12952 113.81 0.80
590 13016 114.09 0.85
600 12937 113.74 0.90
610 12956 113.82 0.90
620 13136 114.61 1.00
630 12962 113.85 1.00
640 13118 114.53 1.00
650 13053 114.25 1.00
660 13338 115.49 1.10
670 13150 114.67 1.00
680 13358 115.58 1.10
690 13630 116.75 1.20
700 13539 116.36 1.20
