# Spannung Impulse Strom
#300 0 0.05
310 11511 0.10
320 12126 0.15
330 12288 0.20
340 12304 0.20
350 12449 0.20
360 12240 0.20
370 12498 0.20
380 12484 0.25
390 12615 0.30
400 12668 0.32
410 12663 0.39
420 12648 0.40
430 12899 0.40
440 12715 0.40
450 12858 0.41
460 12931 0.50
470 12905 0.55
480 12744 0.60
490 12745 0.60
500 12750 0.60
510 12784 0.60
520 12767 0.60
530 12693 0.65
540 12860 0.70
550 12623 0.70
560 12936 0.80
570 12704 0.80
580 12952 0.80
590 13016 0.85
600 12937 0.90
610 12956 0.90
620 13136 1.00
630 12962 1.00
640 13118 1.00
650 13053 1.00
660 13338 1.10
670 13150 1.00
680 13358 1.10
690 13630 1.20
700 13539 1.20
